customer_id,come_in,come_out,cal_state,customer_image,video_thumbnail
11,2019-01-01 10:44:00,2019-01-01 10:52:00,"일반퇴장",SC3tCV+VXca2vJ0626Ch2LXYNT/XOXhi0lI8pT6RhGs=,Y7421ywxTNgHVehN6RzUlZlLti4Qls4yU0U1VyFesdw=
12,2019-01-01 16:02:00,2019-01-01 16:09:00,"일반퇴장",TM4qxaJkApCpsy6ASgmUpgqHAnfkc6mHhxRIFHqBmJ4=,ooCE1iWtnnCCb+X+jD0G4HGOVaFTx+eo0mqIMzWva1M=
13,2019-01-01 19:14:00,2019-01-01 19:18:00,"결제완료",1absdHQz/9LGIwieDenIpJ5pVwLRzvwMPLixbph5Baw=,fJMnS4a5JdJdHcQtIBEPZckUASkH0gBkmWBeYa4kTF0=
14,2019-01-01 13:39:00,2019-01-01 13:49:00,"일반퇴장",HcHzmeYHgdtrTSoioqGfoWxaPurBXZIu+js2HKGuC/0=,3elAiiAWWEP69XzWqolEn9DYxWjHuuVbsIr/EdguIAU=
15,2019-01-01 20:14:00,2019-01-01 20:21:00,"일반퇴장",Ci5zp/nzxO5O89PB2Jd+ib5p+CBkQV/7LBZ5flqLq+Q=,XNh5hNmjHKMPIbYZ2IOhFNvm0W4Qx9QKbA2YQBBtVZM=
16,2019-01-01 12:26:00,2019-01-01 12:31:00,"결제완료",TuUu3GDQkjlf34l1S1MHFwPVDcuYFSdQxv0qp+cuTcY=,QojXTu8A8vbIQbNmrXrw0jPamJjTzuQODmCAu58mnmg=
17,2019-01-01 11:16:00,2019-01-01 11:20:00,"결제완료",ACZ7ePrFysl6YAL73EWOuTjxRbmAbuv0wjSpF4yGrHU=,UpeKbZhjSmFP/nvlggBq/e12vT+5+RBVLZtKfV0XDtY=
18,2019-01-01 19:47:00,2019-01-01 19:50:00,"일반퇴장",fYJ9lgozOisOXBxl5UqO4nYX9PrzS7iuPyO9VVbuJ90=,gLAxMbrsvzceZYV3Pv9Uy07G3pVB+tpnA6U4ydz2rbc=
19,2019-01-01 10:33:00,2019-01-01 10:40:00,"결제완료",BPUqJRNhwxo3U71/mEG518LXXIG+2AvctP1kgNqK9vk=,8L75muB4n7reG0BrZc7ZLpejrUXLbPtgGAz0r0vu3Ac=
20,2019-01-01 10:27:00,2019-01-01 10:30:00,"결제완료",sPYI1GXTVqvhsjfxapfGcnWXSSGbaQVp601mtTqFAkc=,gED8ukhjjvq3SG0Qj9gOPsO/GvI/IuCr5oCZKwv85wI=
21,2019-01-01 13:33:00,2019-01-01 13:41:00,"결제완료",g5Bs/3w+UcAzy63R3uQAcY/cvMKBUr7aIzw+wzafXJE=,DWFgWFyf2Cby4LTwSVx3r51azX6yfhdk9tSUD/bWPTc=
22,2019-01-01 12:59:00,2019-01-01 13:07:00,"일반퇴장",84rNOvo1qi7bhwsCa5Ma0KcJQH//StORR9cOUHfDpkE=,2bR8yjFvlFgOp0AB3YS7HIvnH+j8j9DPgPF770M6ERQ=
23,2019-01-01 10:39:00,2019-01-01 10:42:00,"결제완료",D56RPlvK7OY1AMeRB++8MYBhb59wnfTfzLo8fjq1L4Y=,zFSLNt1Gx1FxPdbidLFQl8MubnOSQjkQifAszD4KRJw=
24,2019-01-01 13:56:00,2019-01-01 14:03:00,"결제완료",FmKDC4/tndv2MM2KWApVH22I41viNdmRJax5wWY34Gw=,1gyavnj4FvIjyIFMNfUs/UYaRtNAYAYOcAyPPSBUT4g=
25,2019-01-01 19:31:00,2019-01-01 19:38:00,"일반퇴장",bpl/Jx5jRaI2FBrTa48H0y/hJ8+fQcAlIhpIzagMkS4=,Hz5nrIkVc83Zc1w5tp7z78bDoIyTw+pCm02f5eEJgsI=
26,2019-01-01 20:20:00,2019-01-01 20:28:00,"일반퇴장",CM/OME9dxVreKhdWpzHdTixH0m8i7bhIBe6iw04063c=,YPtuT02LpYaYAt+8uoQX5SYx2elgn1GOmmDGmNjfmPU=
27,2019-01-01 13:33:00,2019-01-01 13:41:00,"일반퇴장",Cx1NsqODaaMhIZTDvM/Zt7GAafGynB7HExHPVp5NEjs=,+9KaQGqOMbbuRy5Af4zxQvEVvbNpuxuRT4YkjTdoJfE=
28,2019-01-02 18:24:00,2019-01-02 18:33:00,"일반퇴장",zeyaJbO/I2jFZjCv0htz/ndGxcIzeAdL/Bm8aHf+5yo=,RkRYQorJEZm2mn98MpgRAi+V6FF9dFnWWU/ChqXkRiw=
29,2019-01-02 15:59:00,2019-01-02 16:05:00,"결제완료",tX+9+poBeo9oTLQXNJ1B0tYGlNnlLtpeuDPnPU/m0Yc=,38hTm8nZHuBFJMmNsz2ngUrsTqkkdJA7438QTGCcRMM=
30,2019-01-02 14:49:00,2019-01-02 14:58:00,"결제완료",247omX46zqUposWXQo1URbQ8DCj0oRW8yMLc4Uy1jLY=,c21+K56Vy0tucuMd+GkDQYg3ZxAh1cVTYgnV+UahJUM=
31,2019-01-02 10:31:00,2019-01-02 10:39:00,"결제완료",cNSaQUmQfh18ZuSIxPIEBrUfR2DyE0oHTAwyD6hfAFk=,tWOQ1dNL54fDyUsS/VBuIGtYUe609fOhAT5Pd3K1i3o=
32,2019-01-02 15:54:00,2019-01-02 16:02:00,"결제완료",YgN3fHGUhRUXvv8QTrEZY7GHLxnPt09ah0dLP2iZ+2A=,CtZ/wedHiJs+uy3ROrUMqF/7QlarHrzjamwb1gfk9sY=
33,2019-01-02 19:46:00,2019-01-02 19:56:00,"일반퇴장",wcW8/iBuT0dNQ5UcMm9Z2wGxJorG/RtfhIW1u74fui8=,/cYF0n67BxqseWwbslleFBMFORbgmyEE3HFUx0nkmMs=
34,2019-01-02 19:25:00,2019-01-02 19:28:00,"일반퇴장",y1+MRC7LeUfpgZkZKEboU7YHJLUg/tSePt5DIlmHQy4=,OMJzGfCNJORslXQD+rFQ2Tk6E4Qzs5gRpPn4VIcVmLQ=
35,2019-01-02 18:30:00,2019-01-02 18:40:00,"결제완료",ZhIsTPfksTUfJX6mGsXicT5lc/UccSEUoalDDf3pIaY=,4rJ7YHsmgaXfogPyJJkitWblLbI3jH6bsGQHVEDeucw=
36,2019-01-02 17:04:00,2019-01-02 17:10:00,"결제완료",LpPUYO0xngKKsjEjUnd+YGdwZiAkbgWLiOtlhwpDepE=,thAdFsruPwD+hR1zgKkQhdZpcZkt5MQg4uH3Ki2qbiE=
37,2019-01-02 19:51:00,2019-01-02 20:01:00,"결제완료",jCmODGgzlC1eC1QXbRs41g5xULiVcqMlPr+FTvuQWtw=,J+Fd+NZ1WUTxVZXfpT2atuxa1+IHSJqPitcAKFCpUjk=
38,2019-01-02 18:17:00,2019-01-02 18:20:00,"일반퇴장",7pq2FXtqXn5eVgSt5iHjOXSYPS/HswYRtDzMFcnu1n0=,6zo304A3nS5do3J9ltOGocClL9dEYjQdC95owwuOsXU=
39,2019-01-02 14:22:00,2019-01-02 14:30:00,"결제완료",7aQk4vabYAtIlwy9oYr7FEzmK7VeSIkvRMDDPcfXr5c=,HMzzHls5552lO1tHxl8tsaEykImg0GKtQue7pR7ZJeM=
40,2019-01-02 10:24:00,2019-01-02 10:32:00,"일반퇴장",QEgeZJm0klgTSIsC1IdaBXdn77VGqb6qvyL1OKZUyfI=,sUTmYkNx0MnG+YlebsU9q9okPvMiPg/QFZa2v7RbZUk=
41,2019-01-02 19:51:00,2019-01-02 20:01:00,"결제완료",AEKy2T++oxrnkAlO9a9G4OX/hpLFZnA0feTgCqzQKIg=,kp5SkTsWTtETGPSpHWf8o2FY8fc8ahhTHguHiBB1o4A=
42,2019-01-02 11:01:00,2019-01-02 11:05:00,"일반퇴장",1s5Xmlc6mzbay4+miTCB5/pAEWtibXbV7OBF3kULbBI=,NskAKGM2MVJmv5deh8i5tUXZaa4nRczRgQbCb6FN1lU=
43,2019-01-02 16:39:00,2019-01-02 16:46:00,"일반퇴장",0tnoo2oHW0HwVkB6S9M3JVLwl3lP9IRcIpphHkg4prI=,RyfUOO3jbeZJJT/dHijb7YSld+LIjr1R5PvXmExHOVo=
44,2019-01-02 10:05:00,2019-01-02 10:10:00,"절도의심",TLVdtiFNG6p+GZlNEmMTkFdOCITw1EWVAVIg3JS+YjI=,gCJkiY5gAhRL6r8vfasTi43g05Ab2rvOLHk7x64Xo5A=
45,2019-01-02 10:16:00,2019-01-02 10:20:00,"결제완료",KkDxA20aXGk+8Fwj7+cHF2Jd6mfipQdiSVtLedQrL2I=,zT+INtPnp9uq072h9uArvbXcnpQ4E2CByLyvcO4B3hc=
46,2019-01-02 09:17:00,2019-01-02 09:22:00,"일반퇴장",3QNCNk4zwS8cpcueYsvn4IyQkHZ4PXQypgS8id3XIto=,Sbj7kJfn0IgJXsemwd5sN96RW5GKPZE8Qxs9f8s6M9E=
47,2019-01-02 11:55:00,2019-01-02 12:02:00,"일반퇴장",njHd9aoq3J4iuYEyZvzL/PDVyGfd5LjXn/xsoRFzF54=,GR5YwHQDSMddUqsgHWRyVCXNfLpWyg+cvZXzog3+4dM=
48,2019-01-02 18:38:00,2019-01-02 18:47:00,"일반퇴장",9FlSuNhB1jn61F2OQsjYjTYsokYbLzidmAcJ2WbeepY=,N1xLlSx6pCOMhCsRNbUlfuIneaQrVKeJn57dw1U+B/E=
49,2019-01-02 09:51:00,2019-01-02 09:54:00,"결제완료",aaJ3ognOK5bG1aQlWlVITqt1p8iqHPqtUueN4xd1A5k=,eSPYOWlrVNynQPjceItzE/+3UKATR6TJltv2+KZ2JNU=
50,2019-01-02 13:18:00,2019-01-02 13:27:00,"결제완료",spiilByTwxyg/x5zCfBVOHqF+2T/gOcAtQ0yIcqr5dg=,8q40alKjQ28NfW/k1hItOcQ/8TeKcEqy1oIP97e+nu4=
51,2019-01-02 19:57:00,2019-01-02 20:06:00,"일반퇴장",5WQDe/Z7GAVBTOZZ4TNWxgGUNHgyIpJcHLtbZP7P8po=,fUdOYS5hbKxozh9YYfjpRPqfkZ5D0XP89F5iiGjnN9k=
52,2019-01-02 19:44:00,2019-01-02 19:49:00,"결제완료",zuKZiP8lAtxIdWDJwATxWOsNLmfFbUgjleK/f5A7P5M=,X9mezrRutNhL3pXD08hjpf1/ZY3dwYsR7fm5dEtEd9s=
53,2019-01-02 20:14:00,2019-01-02 20:18:00,"결제완료",yub9cSBJZ3o0Zhz4E8pMmL/vnmAi5cPAzY2qCMu2nOM=,YYGZ3YOz9kWYk8TmdH3tNzz7pmVjjQ4Z8CLzHM50pB4=
54,2019-01-02 13:44:00,2019-01-02 13:53:00,"결제완료",MMrsF77W+5kNi1kyUHwppx6+rLeE0sol4JrnP9HjJAM=,E6yGcxX/e++srEcHl+UyOWC7YuZ/JEUcmFw1/BzHi8M=
55,2019-01-02 19:03:00,2019-01-02 19:07:00,"일반퇴장",VpHRLNTYcyHrwLSeHULtlnabFwtOZamsRI2GcExf5MY=,3tNRZjSvQMW+5PDcwSDzJsAS78764gEpe2vbv7a4RQ4=
56,2019-01-02 10:14:00,2019-01-02 10:22:00,"일반퇴장",bY2Q2IKfXf1DgVvVWH8p7CpGXfDP0Tqw9pZ7ZoWmygc=,X+yC55rwv23AqSoasurVyh+PWVpw+f4oP7S282EeBPA=
57,2019-01-02 10:49:00,2019-01-02 10:54:00,"일반퇴장",rQ5W9E7h36FooYiHuJ4uDfDG7ExFhoiXC2FXT8yO/L4=,hvlHyviQS5802WB36pDaaXQPJDcDUZaAvfskefK1Lzw=
58,2019-01-03 19:06:00,2019-01-03 19:15:00,"일반퇴장",2xJPWe2GNerwUZ2czYAyKqn2xnqULOG3lWIsnYFiV70=,WUhIPwyRp4HSaMmDOkbUt0I917Mc8/F/zCBpQtGyxe0=
59,2019-01-03 14:05:00,2019-01-03 14:11:00,"결제완료",Y43ATsPRsOYxq3zXupZdAOJWxCDsTG2EWlzCnKiII94=,qr94NhDjoJG2hrD7OdwJdbVBd9T2MYFNpcg+6IYwtPU=
60,2019-01-03 17:28:00,2019-01-03 17:38:00,"결제완료",uTkOtv/LZo6tozqNCeS41nKM6kLhKgkWVWhLO0Gl9Tw=,4WcHgIhHKL7Mz3nLOvrJYHujVyh3PBxqpJN3FFHmu8M=
61,2019-01-03 20:06:00,2019-01-03 20:12:00,"일반퇴장",C9/20fUB2uQ/A834zMIUw4Or8zJRex/XmNoRSOkeY80=,0klV5qOY0Shlt5Cp5d90Xawb/9IY/AP9zh798ZY9t9Y=
62,2019-01-03 10:16:00,2019-01-03 10:19:00,"결제완료",bf12NuQU8O/wf0BPFFitA4Evmt3J4ZoTKhCoCI5SxmI=,r9UN4KFqAh5i2KgqDQI+/oenlsycKNYg4DZpMqhNe30=
63,2019-01-03 10:05:00,2019-01-03 10:11:00,"결제완료",hCvILp3RLvCLixAJ3oMl7wgquO0jM07fgiq+3ZMZjUU=,3q5rPl7FuGw42YnZYsVQq7oLSqWVUUIswqO9ZiJdzEo=
64,2019-01-03 13:38:00,2019-01-03 13:43:00,"결제완료",Vq6KPZCOCkgpvr+4GNFOhmPeeZIPI+ulydjwReFA9Lo=,y/L4pocr1s/8nKfZWCPM45hC0g05nPXUuiVWeCJxjd4=
65,2019-01-03 18:48:00,2019-01-03 18:54:00,"일반퇴장",At6FiZxFZioiuJNaBUwpzebCkirmqj/P39QqQpxTPP8=,c9RDXpiNcYne5ZQ94SPp4w6z9j9Cp9R3mxzTedinAww=
66,2019-01-03 10:50:00,2019-01-03 10:57:00,"결제완료",xST4tYWt/4mnny/aCBB1g6f9RNdEyCfptLXtDM69RKA=,6fQwFBg7ftmYAWFFCAGTakhLPb+DZDRKB0p1uN+C7PE=
67,2019-01-03 11:37:00,2019-01-03 11:41:00,"결제완료",Nkb0BKgplDNqhWmVCsD4Odw3MhmDKMX/CkxIojEw2pQ=,szKldE/vsa97W9AbuIu7VvsL7IAj7Inu1uub5nZ7n8g=
68,2019-01-03 14:44:00,2019-01-03 14:47:00,"결제완료",nWhBOWQ/kR5DXTwUNLBP6OFZQjIyNpmD8JnB/m7e1kg=,C+zACFt4WfIjNfK+JIL/1NGQmtU5e2p4q5R7xgBCsTQ=
69,2019-01-03 18:45:00,2019-01-03 18:48:00,"결제완료",P6FSgmP0YXf3WJgYpQdf0haMsQ5/VwYKGNjceaxeSZw=,KJuVx5shbCN66pLbVcFvLxKuEhoVsjqDR8GkACIp9aw=
70,2019-01-03 20:34:00,2019-01-03 20:41:00,"일반퇴장",QYVWwt4J7hddkfYrZiT4Pla1U3gSWcdQgX/ZIcXreNw=,xx9D2Y96iaWQqXcIaDf9AsnpW4dGFUnrggu1/33DqIo=
71,2019-01-03 13:06:00,2019-01-03 13:10:00,"일반퇴장",XXhAQbZpEmI6gFbxz6oWk2mWnSgt0/zH8aZ1kheyZ6E=,OOaXTbq8F8v/2JeXeFuV2h4yfny9EDjxKvo3x8cSym8=
72,2019-01-04 16:15:00,2019-01-04 16:20:00,"일반퇴장",Aras2YhPmUbpw+4+Zc+AMh3Ph9H/C86Q3uwutF3JrkE=,YOro2I2EEQ2iVTJWFWcRXPPaVtIRNZtdo7it0WqjR5A=
73,2019-01-04 11:24:00,2019-01-04 11:32:00,"일반퇴장",g1DZMODQZhX39XQuZK223pzCPdgXuFbgg3fZEq2Am+Y=,BB3jtVNwm5LbNaoENXEDS3ccIC0lWKEcyjjUi64wpUY=
74,2019-01-04 13:39:00,2019-01-04 13:42:00,"일반퇴장",AGwTxvNdXYBt/sC0A4JtEgJDaLi4R6qs6OjC/6i2hbE=,xOx7zh6aJzprIjwdQ782L+xKuU6hLifkstHQV1d4Hps=
75,2019-01-04 20:07:00,2019-01-04 20:17:00,"결제완료",tuVDg3VrhrXKzX685vb4NFcVYM7j2oDL4yw6u70mPs8=,uLzkF6iXWSCfnyUPWLiEnd+nLh67byychSczVeC9lyg=
76,2019-01-04 19:23:00,2019-01-04 19:28:00,"일반퇴장",P7u60qq/zIn1Rgc/CFWTs99ZGIr+SmFX7EjYbJGMIUM=,e/qg/Bty+jBHTDpKK/Sg4Y0UHn2CrThLnGtqpiWpfPU=
77,2019-01-04 13:11:00,2019-01-04 13:14:00,"결제완료",8DgRdrQJijBbgFCsywaBII43pQPamCeQYaZQwr6YuRE=,TvDRHhvBuXKcR7GjKDnoBuH+SBAGGdnWGkaSDvsI04U=
78,2019-01-04 19:20:00,2019-01-04 19:30:00,"일반퇴장",Yuytosf/LQKZMw2+jrAJB60dh6vq+G975bmkUSZhUbY=,VzikHRrztbYxmW1kMEVKbUtJZNinZ3+GTCOzxRrYi5E=
79,2019-01-04 12:09:00,2019-01-04 12:18:00,"결제완료",sXiKkrQFcaVih/DTkQnrLuTcXEX9PfzojkFOm526J7g=,Uzt+7uMjPVJI6P6t7nLCO06DV60/fn9xx74q+oPrTQ4=
80,2019-01-04 20:33:00,2019-01-04 20:40:00,"일반퇴장",RkmNOzD7bPEHyVKltpnaudFsu3AVzOLnjdT+15KZ/4w=,wwIbERUi3g5yU0A6WPue6sr49fVW36Fg5vG+TJppY+4=
81,2019-01-04 16:05:00,2019-01-04 16:10:00,"결제완료",KIftK8d7u+J2Aalf5mmzg46HQmP8dHF5ypdfqUpLKag=,gmq8+6x+CPkGBNoH7g5rqg67riRz/+5L2ArJqZODGXE=
82,2019-01-04 10:55:00,2019-01-04 10:58:00,"일반퇴장",fjkzU/fZ4mFvYzZm7ymBrTKrLc2vZQH9vMDpUuwLmeI=,Nd/Mf2HLigcsgw22xwpZOCbDtFD/PGQ5S1VedHJqCkI=
83,2019-01-04 09:16:00,2019-01-04 09:26:00,"결제완료",aLx3RYAsKcQCRXyFZlB6Hxc2A5AKNgVDXmRvO8dP0i0=,DhneqaWX4jpSS3gJ2mJg9dBesqx/7cTn8CEY5/jEZUA=
84,2019-01-04 09:55:00,2019-01-04 10:01:00,"일반퇴장",4LexlmoWqkN7VWjgykN816V6NTR9T8CO/OeJ2TY+ulA=,U7T1DlvBAB62e8QtiWG0UgG2fMXjX04Cn5KZe7/FVSs=
85,2019-01-04 14:07:00,2019-01-04 14:13:00,"일반퇴장",chFsS8LtNzU1Azhg9QvFQBCuh0O2XGoG2TLYgumvoes=,FDK+cEybfCn+rS0VXQ7Wr5uUYA95petL7+EPAOq+yDk=
86,2019-01-04 19:57:00,2019-01-04 20:07:00,"결제완료",qiew7L2uLFyoLHaTBF1/K/RLaYNO++T8hPi9z7eGlho=,s/trbXfkLw2yI+q64qWq3mSe9Wf+/LK6d2c/YDVDXBQ=
87,2019-01-04 09:09:00,2019-01-04 09:13:00,"결제완료",vUqLkHtpJ/ivjTmSYR1p+h8TeDLQYbazn5Z5qxlUIR0=,QQ/zVsB9UMxIBKOKPN56TOkhtMpia7dH32ZBEZ6dCC8=
88,2019-01-04 14:55:00,2019-01-04 14:59:00,"결제완료",wDAiQyUeR0slImpK0uWI28mfo3uPSpqHLYC0RiFbnV0=,88bwu5urnqbylibmA3Iq0l+cbC9EK8NSUKaFWOIaIGw=
89,2019-01-04 20:19:00,2019-01-04 20:25:00,"일반퇴장",FkwFAOeyctkUMJGr40VI25pD6dUi0hun77FFaaHjpng=,+w95Y+Oof1gkiziog6VPhloCDgjSnKpdt936R3RfSw4=
90,2019-01-04 15:00:00,2019-01-04 15:07:00,"일반퇴장",oweB0Klj4WDLfwpCzVLBTLrnQP8/j2ejxeROOCPzrWk=,X6gcukHZ02eAxMVDtpCBd9caDfo6ELdtcKtMVOgV/TM=
91,2019-01-04 14:57:00,2019-01-04 15:05:00,"결제완료",17ZwpHgmEGkdIp6HmTKxFnRizsKoRZVurY/CqZAHuyY=,KQ8S/ImHRkVeEp4+iH7tt94oipzIZBFy1R+7NSJdgKg=
92,2019-01-04 15:27:00,2019-01-04 15:36:00,"일반퇴장",DM2yCxiuh6eOa/KkxghlSuNTFTXiRSye7drjwCZEC9I=,MR/DJk61J7GDUL1ZZXNKLw+rv4eZ1WAGaOotuVJlEgc=
93,2019-01-04 15:17:00,2019-01-04 15:20:00,"결제완료",DGn/WrdNO8sRct7r57cfDpgmadaaW1/Dm2BDlOM1rFU=,B7BBzR2cEk6iZKgammdSxvQ5kBz0GDw4rqhUmgQLmA4=
94,2019-01-04 20:14:00,2019-01-04 20:22:00,"결제완료",HPJnz5Wh2YQZ64cRR41BVMi8hp71VD6GTrnDujSBjG4=,9YuiFVk4iD5mLXcCHr5h9YWzLrRORq2EOWCg8GVJMus=
95,2019-01-04 19:05:00,2019-01-04 19:11:00,"일반퇴장",kF83NTijP6hwU/dfeVKbe/ErstfdcOXTlnADYM+If7E=,SSTnOysiOGC+JMSQhmVRcjBE7KEfDvWR31vPYinyJGI=
96,2019-01-04 15:50:00,2019-01-04 15:58:00,"결제완료",xxK65PHT4qQ+XuGUtA5enPMt137q0S22gp9UuFVDnEk=,z/tVfqdimwDa1W3YNdbZoCNMdY5QH6NYPiJep82A/zw=
97,2019-01-04 09:29:00,2019-01-04 09:36:00,"일반퇴장",4p2FQjP0tie7JxAbdMLQGpktGIetsSkjlsYMj3+1F48=,L2o+Bs9VHnWiYkOF0VwlMX5e3dx+sklb9psR/JtiS90=
98,2019-01-04 12:59:00,2019-01-04 13:05:00,"결제완료",I8Vkv16eiz7MnftCAc2O15rd+L+xLrL1mQk7UltJ3NI=,2oqCMvhLj2gpoXdH5GFuGTePiaQOESsPvIDWE0Nm/D4=
99,2019-01-05 17:02:00,2019-01-05 17:10:00,"일반퇴장",NMSHIWqJse01uRUEjGS4OYNlX5tod63NewqSYpdvXzs=,DRE/F4SXmws4aNRaeNh2On2CkRMEIHo4OF1dkw4gxeQ=
100,2019-01-05 19:43:00,2019-01-05 19:46:00,"결제완료",VBeKgMs4/eSVZIqEOfFNLIjr1Am5SsNXc+Qd2+5XSZI=,+QxpMH9bXSCwqXalcqO08KX5QU+o/ri91JWkJwybHSI=
101,2019-01-05 14:44:00,2019-01-05 14:50:00,"일반퇴장",kJoeqq7D2y1M7E5HnqLutf1MceJjdQDNOiRfK0WIWA0=,aQcqQ94DjUV2UIGpwfB8uHrjAhRuPAfRzmEzAUMDQGA=
102,2019-01-05 19:42:00,2019-01-05 19:49:00,"결제완료",4fkc68wzbsY60WW/G0YwYXhN1dHzW8h0DLpteTMVlGQ=,mZvnm25ZW2cBznGV9McSISlrJBVIPUJnVbdZphwQxCA=
103,2019-01-05 18:06:00,2019-01-05 18:13:00,"결제완료",L/P/4RvjDRDjI2HSKzFFRFwfa/i/Tyd4rSSf3ZH+fa8=,Hui7kWliQ6qZQwlytSmTpRQjMEG35IX9FV4fV6U/iU4=
104,2019-01-06 18:06:00,2019-01-06 18:15:00,"결제완료",MVQEJJnscvB2o4ziFNPifL0kB0b03nfF5HDn7D1NZy0=,MFQ28MGQzOisAIuMAuH1/DcbhRv+UyP1qQQABDjkd6A=
105,2019-01-06 16:33:00,2019-01-06 16:38:00,"일반퇴장",NhaMe1FKCkkGUtnvZMZnjQdeLKjYHBV3W/1EZMSVbp8=,bMmUQzoVuI9+6044bwtTiHLXxWQaVRjlB+P3ldH/n/0=
106,2019-01-06 14:43:00,2019-01-06 14:49:00,"일반퇴장",lIEFdySJPye+JqNvqD/DlkGYqWuWTVikQANX0R635+U=,q1yrEMDi7de0TyLY1H2UMG0cLwi8JprmHT4uR1NtoME=
107,2019-01-06 20:54:00,2019-01-06 21:02:00,"결제완료",Na5XjoR9ZtOjnyJVoPu73KoUsYDySMXKIjABiU9o/ho=,U3tQ3aRF/2CiMsWmnCUPX4pnWQoc63wlsMdjhOsv/t4=
108,2019-01-06 18:06:00,2019-01-06 18:14:00,"결제완료",At08Y412zpyaIOQ45ew5aCVNHYnoQTfla7SKspULXm8=,5N44AUWjlddI+DtO8I6QO2Jp/J3vG0kqmNG626CAzO4=
109,2019-01-06 13:49:00,2019-01-06 13:54:00,"결제완료",XSNc+QXF4ZyRSnulOLA65Q+IzBze20G+XBijUN1tr5s=,CSNxRyi5f/qCGjz5BPbLGoPhNuzOFzQX2NuNKJ/vPNA=
110,2019-01-06 12:20:00,2019-01-06 12:24:00,"일반퇴장",5yfhX+QPJ+X9tpa69f73o+PXEuHdOI7oLCyHLm+fbbw=,u1VsJEvMqQrAM52bZrlwNoQjS0QOkfWLDJfByN4A9Tc=
111,2019-01-06 18:01:00,2019-01-06 18:09:00,"결제완료",/tJawgFEH/N14nXZ6wiymUhveIwIF6loSH3q28u4jVg=,tKn2Tz0OXJx3FWx+kQEu2VrnO0zrFwC9MlLRupwK6Ic=
112,2019-01-06 19:11:00,2019-01-06 19:19:00,"결제완료",2YASVIQ4UprVJFRqgQ6CRZMTpgyJ1xphMBUDvYGFXok=,kERD9zB+P1UQVHJFODCAgR6hbAwNusqgSBvcta++r8w=
113,2019-01-06 17:26:00,2019-01-06 17:36:00,"일반퇴장",ThR+beQfuNL2ImP0XXynICmgfIENQrUoytCxdgfWOgc=,/wuE8D2u1dNHhVAkAoJJscipPirkz0HamoZVoFNo/pc=
114,2019-01-06 17:51:00,2019-01-06 17:55:00,"일반퇴장",wfQYBVzW/8Nog3IFPOkh5n82rV+XR5wItJuBvWfA/N4=,HhENRQ4Rl/3uc2ZCFq6vRN37pWdGiqbbVSUPsNocaSQ=
115,2019-01-06 14:16:00,2019-01-06 14:24:00,"일반퇴장",Ag77z7LrJMwAzHSRhhpHWQqWCUN8+1ZOr5wZ9Yf4QUQ=,UA5t1tzj6K0WFWItKb1akt3CMoQW3UEJOnoubwmy6Qk=
